服务器内网ip,系统版本,机器核数,总内存,总硬盘,可使用硬盘,缓存,空闲内存,CPU空闲率,硬盘可用率,内存可用率,TCP连接数
192.168.100.101,Ubuntu14,32核,125G,5.3T,1.9T,30G,0G,87.19%,36%,0%,790
192.168.100.102,Ubuntu14,32核,125G,5.3T,1.8T,38G,0G,88.01%,34%,0%,896
192.168.100.103,Ubuntu14,32核,125G,5.3T,1.6T,23G,1G,86.35%,30%,1%,883
192.168.100.104,Ubuntu14,32核,125G,5.3T,2.3T,57G,1G,87.66%,43%,1%,830
192.168.100.105,Ubuntu14,32核,125G,5.3T,1.3T,29G,1G,87.34%,25%,1%,2222
192.168.100.106,Ubuntu14,32核,125G,5.3T,1.1T,26G,0G,87.97%,21%,0%,928
192.168.100.107,Ubuntu14,32核,125G,5.3T,982G,24G,0G,86.90%,18528%,0%,940
192.168.100.108,Ubuntu14,32核,125G,5.3T,1.1T,25G,1G,87.48%,21%,1%,852
192.168.100.109,Ubuntu14,32核,125G,5.3T,2.2T,17G,1G,87.23%,42%,1%,545
192.168.100.110,Ubuntu14,32核,125G,5.3T,2.3T,26G,1G,87.64%,43%,1%,443
192.168.100.111,Ubuntu14,32核,125G,5.3T,3.0T,24G,1G,87.18%,57%,1%,460
192.168.100.112,Ubuntu14,32核,125G,5.3T,3.3T,25G,3G,83.62%,62%,2%,501
192.168.100.113,Ubuntu14,32核,125G,5.3T,3.2T,27G,0G,87.03%,60%,0%,464
192.168.100.114,Ubuntu14,32核,125G,5.3T,3.3T,24G,1G,87.28%,62%,1%,452
192.168.100.115,Ubuntu14,32核,125G,5.3T,3.9T,59G,1G,97.65%,74%,1%,1657
192.168.100.116,Ubuntu14,32核,125G,5.3T,3.1T,27G,4G,86.66%,58%,3%,502
192.168.100.117,Ubuntu14,32核,125G,5.3T,3.4T,22G,0G,88.42%,64%,0%,1065
192.168.100.118,Ubuntu14,32核,125G,5.3T,3.1T,30G,2G,89.61%,58%,2%,1107
192.168.100.119,Ubuntu14,32核,125G,5.3T,3.9T,102G,0G,98.81%,74%,0%,249
192.168.100.120,Ubuntu14,32核,125G,5.3T,3.9T,7G,1G,89.23%,74%,1%,375
192.168.100.126,Ubuntu14,32核,62G,9.0T,7.6T,22G,1G,97.59%,84%,2%,1775
192.168.100.127,Ubuntu14,32核,62G,9.0T,8.1T,24G,1G,97.77%,90%,2%,1970
192.168.100.128,Ubuntu14,32核,62G,9.0T,7.6T,27G,2G,97.91%,84%,3%,1565
192.168.100.129,Ubuntu14,32核,62G,9.0T,7.8T,47G,0G,98.68%,87%,0%,295
192.168.100.130,Ubuntu14,32核,62G,9.0T,7.8T,49G,0G,98.95%,87%,0%,230
192.168.100.131,Ubuntu14,32核,62G,9.0T,7.8T,48G,0G,97.42%,87%,0%,639
192.168.100.132,Ubuntu14,32核,62G,9.0T,7.8T,43G,0G,98.02%,87%,0%,496
192.168.100.133,Ubuntu14,32核,62G,9.0T,7.8T,46G,3G,97.54%,87%,5%,265
192.168.100.134,Ubuntu14,32核,62G,9.0T,7.9T,49G,0G,97.75%,88%,0%,274
192.168.100.135,Ubuntu14,32核,62G,9.0T,8.4T,0G,60G,99.97%,93%,97%,93
192.168.100.136,Ubuntu14,32核,62G,9.0T,7.9T,41G,0G,97.72%,88%,0%,680
192.168.100.137,Ubuntu14,32核,62G,9.0T,8.5T,0G,61G,99.97%,94%,98%,106
192.168.100.138,Ubuntu14,32核,62G,9.0T,7.9T,45G,1G,97.57%,88%,2%,294
192.168.100.139,Ubuntu14,32核,62G,9.0T,7.8T,45G,0G,97.33%,87%,0%,296
192.168.100.140,Ubuntu14,32核,62G,9.0T,7.8T,47G,0G,98.07%,87%,0%,247
192.168.100.141,Ubuntu14,32核,62G,9.0T,7.8T,42G,0G,97.32%,87%,0%,430
192.168.100.142,Ubuntu14,32核,62G,9.0T,7.8T,46G,0G,95.63%,87%,0%,950
192.168.100.143,Ubuntu14,32核,62G,9.0T,6.6T,46G,0G,98.15%,73%,0%,881
192.168.100.144,Ubuntu14,32核,62G,9.0T,7.9T,48G,1G,98.63%,88%,2%,466
192.168.100.145,Ubuntu14,32核,62G,9.0T,6.5T,38G,1G,96.63%,72%,2%,950
