,confirmed,total_confirmed,suspected,total_suspected,death,total_death,cured,total_cured,date,province,city,region
0,1,1,0,,0,0,1,1,2020-07-31,西藏,拉萨,1
1,15,15,0,,0,0,15,15,2020-07-31,青海,西宁,1
2,0,3,0,,0,0,0,3,2020-07-31,青海,海北州,1
3,10,10,0,,1,2,9,9,2020-07-31,贵州,六盘水,1
4,0,23,0,,0,0,0,23,2020-07-31,贵州,毕节地区,1
5,0,4,0,,0,0,0,4,2020-07-31,贵州,黔西南州,1
6,0,17,0,,0,0,0,17,2020-07-31,贵州,黔南州,1
7,0,10,0,,0,0,0,10,2020-07-31,贵州,黔东南州,1
8,36,36,0,,1,2,35,35,2020-07-31,贵州,贵阳,1
9,0,10,0,,0,0,0,10,2020-07-31,贵州,铜仁地区,1
10,32,32,0,,0,0,32,32,2020-07-31,贵州,遵义,1
11,4,4,0,,0,0,4,4,2020-07-31,贵州,安顺,1
12,0,0,0,,0,0,0,0,2020-07-31,贵州,贵安新区,1
13,1,1,0,,0,0,1,1,2020-07-31,贵州,境外输入,1
14,5,5,0,,0,0,5,5,2020-07-31,吉林,延边,1
15,17,17,0,,1,2,14,14,2020-07-31,吉林,四平,1
16,6,6,0,,0,0,6,6,2020-07-31,吉林,通化,1
17,48,48,0,,1,2,47,47,2020-07-31,吉林,吉林市,1
18,6,6,0,,0,0,6,6,2020-07-31,吉林,公主岭,1
19,2,2,0,,0,0,2,2,2020-07-31,吉林,松原,1
20,45,45,0,,0,0,45,45,2020-07-31,吉林,长春,1
21,7,7,0,,0,0,7,7,2020-07-31,吉林,辽源,1
22,1,1,0,,0,0,1,1,2020-07-31,吉林,白城,1
23,1,1,0,,0,0,1,1,2020-07-31,吉林,梅河口,1
24,0,0,0,,0,0,0,0,2020-07-31,吉林,白山,1
25,19,19,0,,0,0,19,19,2020-07-31,吉林,境外输入,1
26,552,552,0,,0,0,32,32,2020-07-31,新疆,乌鲁木齐,1
27,1,1,0,,0,0,1,1,2020-07-31,新疆,第七师,1
28,0,4,0,,0,1,0,3,2020-07-31,新疆,第八师,1
29,0,3,0,,0,0,0,3,2020-07-31,新疆,吐鲁番地区,1
30,0,18,0,,0,0,0,18,2020-07-31,新疆,伊犁州,1
31,1,1,0,,0,0,1,1,2020-07-31,新疆,阿克苏地区,1
32,4,4,0,,1,2,3,3,2020-07-31,新疆,第九师,1
33,1,5,0,,0,0,0,4,2020-07-31,新疆,昌吉州,1
34,0,2,0,,0,0,0,2,2020-07-31,新疆,第六师,1
35,3,3,0,,0,0,3,3,2020-07-31,新疆,巴音郭楞蒙古自治州,1
36,3,3,0,,0,0,3,3,2020-07-31,新疆,第十二师,1
37,10,10,0,,1,2,9,9,2020-07-31,新疆,第四师,1
38,1,1,0,,0,0,0,0,2020-07-31,新疆,喀什地区,1
39,0,1,0,,0,0,0,0,2020-07-31,新疆,待确认,1
40,4,3,0,,0,0,4,3,2020-07-31,宁夏,中卫,1
41,28,28,0,,0,0,28,28,2020-07-31,宁夏,吴忠,1
42,36,34,0,,0,0,36,34,2020-07-31,宁夏,银川,1
43,1,1,0,,0,0,1,1,2020-07-31,宁夏,宁东管委会,1
44,5,5,0,,0,0,5,5,2020-07-31,宁夏,固原,1
45,1,1,0,,0,0,1,1,2020-07-31,宁夏,石嘴山,1
46,0,3,0,,0,0,0,3,2020-07-31,宁夏,境外输入,1
47,9,9,0,,0,0,9,9,2020-07-31,内蒙古,锡林郭勒盟,1
48,11,11,0,,0,0,11,11,2020-07-31,内蒙古,包头,1
49,9,7,0,,0,0,9,7,2020-07-31,内蒙古,呼伦贝尔,1
50,7,7,0,,0,0,7,7,2020-07-31,内蒙古,呼和浩特,1
51,1,1,0,,0,0,1,1,2020-07-31,内蒙古,兴安盟,1
52,8,8,0,,1,2,7,7,2020-07-31,内蒙古,巴彦淖尔,1
53,9,9,0,,0,0,9,9,2020-07-31,内蒙古,赤峰,1
54,7,7,0,,0,0,7,7,2020-07-31,内蒙古,通辽,1
55,11,11,0,,0,0,11,11,2020-07-31,内蒙古,鄂尔多斯,1
