昵称,个人主页地址,境内外网站,网站类别,信源级别（低中高）,信源属性（综合、维权、涉政等）,ID,名称,备注,
天涯百姓声音,http://bbs.tianya.cn/list-828-1.shtml,境内,综合论坛,高,综合,104263,天涯论坛_百姓声音,OK,
天涯杂谈,http://bbs.tianya.cn/list-free-1.shtml,境内,综合论坛,高,综合,241149,天涯论坛_天涯杂谈,OK,
新浪新闻,http://people.sina.com.cn,境内,综合论坛,高,综合,206,新浪网,修改，OK,
电脑报论坛,http://bbs.icpcw.com/,境内,综合论坛,,,,,2018年数据,
红网,http://www.rednet.cn,境内,综合论坛,,,3484,红网,修改，OK,
天涯法治论坛,http://bbs.tianya.cn/list-law-1.shtml,境内,综合论坛,高,综合,130,天涯论坛_法治论坛,OK,
猫扑大杂烩,http://dzh.mop.com,境内,综合论坛,中,综合,2927,猫扑大杂烩,修改，OK,
凯迪社区猫眼看人,http://club.kdnet.net/list.asp?boardid=1,境内,综合论坛,,,341601,凯迪社区_猫眼看人,OK,
西陆论坛,http://club.xilu.com,境内,综合论坛,,,105256,西陆论坛,修改，OK,
红网论坛,https://bbs.rednet.cn/,境内,综合论坛,,,1074,红网论坛,修改，试采空白,问题
强国论坛,http://bbs1.people.com.cn,境内,综合论坛,中,综合,727,人民网强国论坛,OK,
天涯重庆,http://bbs.tianya.cn/list-45-1.shtml,境内,综合论坛,高,综合,104347,天涯论坛_重庆,OK,
铁血社区,http://bbs.tiexue.net,境内,综合论坛,中,综合,1067,铁血社区,OK,
漩涡视频,https://www.ixigua.com/home/3346546961425822/,境内,西瓜视频,高,媒体号,4011398,西瓜视频号_西安商报漩涡视频,新配，试采空白,问题
豫视频,https://www.ixigua.com/home/59062744274/,境内,西瓜视频,高,媒体号,4011399,西瓜视频号_豫视频,新配，试采空白,问题
沸点视频,https://www.ixigua.com/home/1785220193587629/,境内,西瓜视频,高,媒体号,4011400,西瓜视频号_沸点视频,新配，试采空白,问题
澎湃视频,https://www.ixigua.com/home/65748183471/,境内,西瓜视频,高,媒体号,,,2017年数据,
澎湃新闻,https://www.ixigua.com/home/51045089537/,境内,西瓜视频,高,媒体号,4002432,西瓜视频号_澎湃新闻,新配，试采空白,问题
青蜂侠,https://www.ixigua.com/home/61310111598/,境内,西瓜视频,高,媒体号,4011401,西瓜视频号_青蜂侠,新配，试采空白,问题
红星新闻,https://www.ixigua.com/home/4085395345/,境内,西瓜视频,高,媒体号,4011402,西瓜视频号_红星新闻,新配，试采空白,问题
红星深度,https://www.ixigua.com/home/55369144321/,境内,西瓜视频,高,媒体号,4011403,西瓜视频号_红星深度,新配，试采空白,问题
荔枝新闻,https://www.ixigua.com/home/6976474883/,境内,西瓜视频,高,媒体号,3138658,西瓜视频号_荔枝新闻,修改，试采空白,问题
新京报,https://www.ixigua.com/home/5540918998/,境内,西瓜视频,高,媒体号,4011404,西瓜视频号_新京报,新配，试采空白,问题
封面新闻,https://www.ixigua.com/home/52029171784/,境内,西瓜视频,高,媒体号,3138660,西瓜视频号_封面新闻,修改，试采空白,问题
star星视频,https://www.ixigua.com/home/83802268282/,境内,西瓜视频,高,媒体号,4011405,西瓜视频号_star星视频,新配，试采空白,问题
燃新闻视频,https://www.ixigua.com/home/6886776520/,境内,西瓜视频,高,媒体号,4011406,西瓜视频号_燃新闻视频,新配，试采空白,问题
看重庆,http://dy.163.com/v2/media/homepage/T1550656430622.html,境内,网易号,中,自媒体,4011407,网易号客户端_看重庆,新配，已转Python，采不到数据,问题
重庆在线,http://dy.163.com/v2/media/homepage/T1550568006108.html,境内,网易号,中,自媒体,4011408,网易号客户端_重庆在线,新配，已转Python，采不到数据,问题
重庆电视台资讯,http://dy.163.com/v2/media/homepage/T1547186576924.html,境内,网易号,高,境内媒体网易号,4011409,网易号客户端_重庆电视台资讯,新配，已转Python，采不到数据,问题
重庆人民广播电台资讯,http://dy.163.com/v2/media/homepage/T1547186574615.html,境内,网易号,高,境内媒体网易号,,,2019年数据,
重庆今日资讯,http://dy.163.com/v2/media/homepage/T1546309380611.html,境内,网易号,中,自媒体,,,2019年数据,
重庆日报文化新闻,http://dy.163.com/v2/media/homepage/T1545113765958.html,境内,网易号,高,境内媒体网易号,,,链接打不开,
重庆日报网,http://dy.163.com/v2/media/homepage/T1545113694764.html,境内,网易号,高,境内媒体网易号,4011410,网易号客户端_重庆日报,新配，已转Python，采不到数据,问题
重庆商报,http://dy.163.com/v2/media/homepage/T1545105884660.html,境内,网易号,高,境内媒体网易号,4011411,网易号客户端_重庆商报,新配，已转Python，采不到数据,问题
重庆晨报,http://dy.163.com/v2/media/homepage/T1545105855244.html,境内,网易号,高,境内媒体网易号,4011412,网易号客户端_重庆晨报,新配，已转Python，采不到数据,问题
上游新闻重庆频道,http://dy.163.com/v2/media/homepage/T1545105789910.html,境内,网易号,中,自媒体,,,链接打不开,
重庆楼市情报,http://dy.163.com/v2/media/homepage/T1534229431201.html,境内,网易号,高,境内媒体网易号,,,链接打不开,
重庆晚报,http://dy.163.com/v2/media/homepage/T1519808938903.html,境内,网易号,高,境内媒体网易号,4011413,网易号客户端_重庆晚报,新配，已转Python，采不到数据,问题
深度重庆,http://dy.163.com/v2/media/homepage/T1516591212770.html,境内,网易号,中,自媒体,,,2019年数据,
重庆卫视,http://dy.163.com/v2/media/homepage/T1509945304500.html,境内,网易号,高,境内媒体网易号,,,链接打不开,
重庆头条,http://dy.163.com/v2/media/homepage/T1489392811109.html,境内,网易号,高,境内媒体网易号,,,链接打不开,
重庆第一眼,http://dy.163.com/v2/media/homepage/T1481526263964.html,境内,网易号,高,境内媒体网易号,,,链接打不开,
重庆青年报CQQNB,http://dy.163.com/v2/media/homepage/T1479361855670.html,境内,网易号,高,境内媒体网易号,,,链接打不开,
重庆商报,http://mp.sohu.com/profile?xpt=Y3FzYnFxQHNvaHUuY29t,境内,搜狐号,高,境内媒体号,3194955,搜狐号_重庆商报,修改，试采OK,
重庆生活,http://mp.sohu.com/profile?xpt=Y3FzaDEyM0Bzb2h1LmNvbQ==,境内,搜狐号,,,,,2019年数据,
重庆禁毒在线,http://mp.sohu.com/profile?xpt=Y3FqZG9ubGluZUBzb2h1LmNvbQ==,境内,搜狐号,,,3332865,搜狐号_重庆禁毒在线,OK,
重庆交通广播,http://mp.sohu.com/profile?xpt=Y3FqdGdiQHNvaHUuY29t,境内,搜狐号,,,3208832,搜狐号_重庆交通广播,OK,
